Company/Initiative,Realistic & Likely to deliver  (Yes/Maybe/No),Relevant to DataCoin,URL,Description (50 words max),Twitter,White Paper,"Summary byTokenMarket, CoinSchedule or similar (if available)",Location, Raise,Comments,,,,,,,,,,,,,,,,,,,,,
hit Foundation,Maybe,Yes,https://hit.foundation,A Blockchain-based Online Marketplace for Personal Health Data,,https://hit.foundation/documents/,,Switzerland,,,,,,,,,,,,,,,,,,,,,,,
Iryo,Maybe,Yes,https://iryo.io,"Iryo network is the world's first participatory healthcare ecosystem build on standardised zero-knowledge electronic health record storage. Disrupting the landscape of traditional health IT by promoting standardised health-data archetypes, redefining medical data ownership and securing from unauthorised access. ",@iryonetwork,https://iryo.io/iryo_whitepaper.pdf,,"Kranj, Slovenia",,,,,,,,,,,,,,,,,,,,,,,
Linda Healthcare ,No,No,https://linda.healthcare/,"LindaHealthCoin is the token needed in order to have access to the Linda Virtual Medical Assistant through our blockchain smart contracts, CryptoHealthInsurance. Our smart contracts will facilitate your monthly LindaHealthCoin payment. In our healthcare ecosystem, LindaHealthCoin is the only form of payment.",@LindaHealthcare,https://linda.healthcare/index.html,,"Palo Alto, California, USA",,,,,,,,,,,,,,,,,,,,,,,
Litra,No,No,https://litra.site/,"a toolkit for building trusted decentralized healthcare apps; executable on mobile devices, compatible with major EHR systems",@LitraCoin,https://litra.site/Litrawhitepaper.pdf,https://www.coinschedule.com/icos/e1047/litra-ico.html,Switzerland,,,,,,,,,,,,,,,,,,,,,,,
Longenesis,Maybe,Yes,http://www.longenesis.com/,"A blockchain-based “life data marketplace platform"" which provides modular toolsets coupled with integrated advanced AI systems to store, manage, and trade life data: social network data, health data, and medical records",@Longenesis,,,,,,,,,,,,,,,,,,,,,,,,,,
LunaDNA,Maybe,Yes,https://www.lunadna.com,Luna is a community owned database that rewards individuals Luna Coins for contributing their DNA and other medical information.,@luna_dna,,,"San Diego, CA",,,,,,,,,,,,,,,,,,,,,,,
Luven Diagnostic,,,https://luvenmed.io/,The LUVEN screening test method detects cancer at its early stages with the accuracy of up to 96% only comparable to biopsy.,@LuvenmedI,https://luvenmed.io/whitepaper/whitepaper_en.pdf,https://icobench.com/ico/luven-diagnostic,Ukraine,,,,,,,,,,,,,,,,,,,,,,,
Lympo,Maybe,Yes,https://lympo.io,"Powered by user-generated and user-controlled fitness and wellness data, Lympo will allow the exchange of value through the introduction LYM utility tokens. ",@Lympo_io,https://lympo.io/wp-content/uploads/2017/12/whitepaper.pdf?v4,,,,,,,,,,,,,,,,,,,,,,,,,
MDCN,,,https://cryptoheart.org,"MDCN’s aim is to have medical services worldwide to provide to the public at a touch of the button. MDCN tokens are provided as a utility to purchase medical care, products, prescriptions and to reward doctors. Using smart contracts, MDCN can store patient data anonymously and securely on the BlockChain and make it accessible to patients.",,https://cryptoheart.org/docs/mdcn2.pdf,https://icobench.com/ico/mdcn,UK,,"ICO info at https://ico.mdcn.org.uk/ 
",,,,,,,,,,,,,,,,,,,,,
MedCredits,Maybe,No,https://medcredits.io/,a blockchain-powered platform connecting patients and doctors worldwide on a decentralized healthcare network,@MedCredits,https://medcredits.io/docs/MedCredits%20White%20Paper%20Final.pdf,https://www.coinschedule.com/icos/e805/medcredits-token-sale.html, ,,,,,,,,,,,,,,,,,,,,,,,
MediBloc,Yes,Yes,https://medibloc.org/en/,"a decentralized healthcare information ecosystem for patients, healthcare providers and data researchers, built on blockchain technology.",@_MediBloc,https://medibloc-homepage.oss-us-west-1.aliyuncs.com/whitepaper/medibloc_whitepaper_en.pdf, ,"Seoul, South Korea",,,,,,,,,,,,,,,,,,,,,,,
MediBond,No,No,http://medibond.io/,"tokenized cryptographic platform to help bring innovation to the pharmaceutical, insurance, and healthcare sectors.",@medibondproj,http://medibond.io/doc/medibond_whitepaper.pdf,https://tokenmarket.net/blockchain/ethereum/assets/medibond/,Australia,,,,,,,,,,,,,,,,,,,,,,,
Medicalchain,Maybe,No,https://medicalchain.com/en/,blockchain technology for secure storage and transfer of electronic health records,@medical_chain,https://medicalchain.com/Medicalchain-Whitepaper-EN.pdf, ,UK,,,,,,,,,,,,,,,,,,,,,,,
MediChain,,,https://medichain.online/,MediChain gives patients ownership of their own medical data. MediChain is a distributed ledger for patient’s medical data. It allows patients to store their own data in a secure way and gives access to specialists anywhere regardless of the payer network or EMR (Electronic Medical Record) used.,@MediChainOnline,https://docs.google.com/document/d/1CcC0TunMv_utiQwXlD9gysj1yc2QAj5jQ8jRAuCla9k/edit,https://icobench.com/ico/medichain,"London, UK",,,,,,,,,,,,,,,,,,,,,,,
MediLedger,,,https://www.mediledger.com,"The MediLedger Project was started in 2017 by Chronicled to bring together leading Pharmaceutical Manufacturers and Distributors to explore blockchain technology to meet track and trace regulations, and to provide a step function improvement in the overall operation of the supply chain.",,https://uploads-ssl.webflow.com/59f37d05831e85000160b9b4/5aa358c647bb6800017a018b_MediLedger%20Project%202017%20Progress%20Report.pdf,,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,
minthealth,Yes,Yes,https://www.minthealth.io/,"A global decentralized health platform that empowers patients with a self-sovereign health identity and aligns patients, providers, and payers to battle the global pandemic of chronic disease",@Mint_Health,,,"San Diego, California, USA",,ICO planned for Jan/Feb 2018. See https://bitcoinexchangeguide.com/minthealth/,,,,,,,,,,,,,,,,,,,,,
mitio,Maybe,No,http://www.mitio.org/,a platform for decentralized medical interpreter training, , , ,"McDonough, Georgia, USA",,ICO in progress listed by ICO Daily and ICO Alert,,,,,,,,,,,,,,,,,,,,,
modum,Maybe,No,https://modum.io/,"combines IoT sensors with blockchain technology to provide data integrity for transactions of physical products, streamlining supply chain processes in many sectors; targeted to comply with EU regs on medicinal products",@modum_io,https://modum.io/wp-content/uploads/2017/08/modum-whitepaper-v.-1.0.pdf, ,"Zürich, Switzerland",,,,,,,,,,,,,,,,,,,,,,,
Nebula Genomics,Maybe,Yes,https://www.nebulagenomics.io,"Spur genomic data growth by significantly reducing the costs of personal genome sequencing, enhancing genomic data protection, enabling buyers to efficiently acquire genomic data, and addressing the challenges of genomic big data. We will accomplish this through   decentralization,   cryptography,   and   utilization   of   the   blockchain.",,https://www.nebulagenomics.io/assets/documents/NEBULA_whitepaper_v4.52.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
Open Longevity,Yes,Yes,http://en.openlongevity.io/,"a project that initiates, organizes and guarantees the openness of clinical trials of aging therapies",@Open_Longevity,https://docs.google.com/document/d/1wUz5D1cvSDkSeXF6RZipK_zNHE9odn4uEP7qgM0jtZk/edit, , Russia,,,,,,,,,,,,,,,,,,,,,,,
Panacea.md,Yes,Yes,http://panacea.md,Managed mHealth custom studies ,,,,Washington D.C.,,,,,,,,,,,,,,,,,,,,,,,
Patientory,Yes,No,https://patientory.com/,a blockchain-based distributed electronic medical record storage computing platform.,@patientory,https://patientory.com/patientory_whitepaper.pdf,https://tokenmarket.net/blockchain/ethereum/assets/patientory/,"Atlanta, Georgia, USA",,,,,,,,,,,,,,,,,,,,,,,
PokitDok,Yes,No,https://pokitdok.com,PokitDok’s platform-as-a-service enables healthcare organizations to quickly build modern commerce experiences across the healthcare value chain.,@PokitDok,,,Sillicon Valley,,,,,,,,,,,,,,,,,,,,,,,
Proof.Work,,,https://proof.work/,"PROOF™ focuses on privacy regulatory standards (HIPAA & GDPR) to create patient-first relationships between payer, provider and life sciences;  assigning all assets permission based access. Our collaborative secure approach creates an irrefutable supply of trust between users wishing to delivering messaging, payments, big-data, meaningful use and accountability.",@proofhealth,,,,,,,,,,,,,,,,,,,,,,,,,,
Robomed Network,Maybe,No,https://robomed.io/,a medical network managed by a blockchain token and designed to provide effective medical care; tokens support smart contracts between healthcare providers and patients ,@Robomed_Network,https://robomed.io/download/Robomed_whitepaper_eng_final.pdf, ,Russia,,,,,,,,,,,,,,,,,,,,,,,
ScalaMed,No,No,https://www.scalamed.com,"Secure, mobile way to manage prescriptions on a blockchain.",@ScalaMed_Health,,,,,,,,,,,,,,,,,,,,,,,,,,
ScriptDrop,Maybe,No,https://www.scriptdrop.io/,addressing the problem of patient abandonment of prescriptions; blockchain technology incentivizes patient adherence and engagement,@ScriptDrop,https://www.scriptdrop.io/assets/scriptdrop-white-paper.pdf, ,"Nashville, Tennessee, USA",,,,,,,,,,,,,,,,,,,,,,,
Shivom,Maybe,Yes,http://shivom.io/,"Using genome sequencing, artificial intelligence, cryptogrpahy, and next-gen distributed ledger technology, aiming to build the world's largest genomics & precision medicine ecosystem. Other healthcare companies can 'dock' their solution (Apps, Service) to the Shivom ecosystem. In addition building a genetic counseling network and not-for-profit R&D organization.",@ProjectShivom,coming very soon,,"Global Initiative (Munich, London, Chandighar, Bangkok, Shanghai)",,Project has received the most of all ICOs ever on ICOBox. ICO planned for Jan/Feb 2018.,,,,,,,,,,,,,,,,,,,,,
Simply Vital Health,Maybe,No,https://www.simplyvitalhealth.com/,"Health Nexus is a blockchain oriented distributed system handling data transfer, payments and storage specifically designed for healthcare",@SimplyVitalHQ,https://docsend.com/view/cuufmc5,https://tokenmarket.net/blockchain/ethereum/assets/simply-vital-health/,"New Haven, Connecticut, USA",,,,,,,,,,,,,,,,,,,,,,,
SmartHealthcare,,,https://smarthealthcare.today/,the first person-centric decentralized healthcare eco-system integrating and processing health related data collected from different data sources. SHT tokens are based on the Ethereum blockchain and are used as internal currency in the eco-system.,@SmrtHealthToday,https://smarthealthcare.today/resources/whitepaper.pdf,https://icobench.com/ico/smarthealthcare,Estonia,,,,,,,,,,,,,,,,,,,,,,,
Solve.Care,Yes,No,https://solve.care/,blockchain platform for decentralized administration of healthcare and benefits,@Solve_Care,https://solve.care/wp-content/uploads/2017/09/Solve.Care-_Vision_Paper.pdf, ,U.S. focus but incorporated in Estonia,,,,,,,,,,,,,,,,,,,,,,,
Synthium Health,Maybe,No,https://tge.synthiumhealth.com/,"a cloud-based, block chain enabled, digital information and commerce platform engineered exclusively for the healthcare industry; automated supply chain management solutions",@SynthiumHealth,https://tge.synthiumhealth.com/wp-content/uploads/2017/09/Synthium-Whitepaper-English.pdf, ,"Marietta, Georgia, USA",,,,,,,,,,,,,,,,,,,,,,,
trustedhealth,,,https://trustedhealth.io/,"a decentralized ecosystem in specialized medicine, engineered on blockchain, available to everyone, everywhere",@_trustedhealth,https://trustedhealth.io/pdfs/TDH_Whitepaper-592f9fec61d40126de35f911eadb11bf.pdf?vsn=d,,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
Universal Health Coin,Yes,No,https://www.universalhealthcoin.com/,"an anonymous, token-based healthcare finance system that utilizes blockchain technology to arbitrage, decentralize and provision fair payment of health services worldwide leveraging artificial intelligence across a distributed network and exploiting the explosive growth of cryptocurrency.",@UHCToken,http://www.universalhealthcoin.com/wp-content/uploads/UHCWhitePaper-V2.3.pdf, ,"Augusta, Georgia, USA",,,,,,,,,,,,,,,,,,,,,,,
Veris Foundation,Maybe,No,https://www.verisfoundation.com/,The Veris platform is a blockchain that specifically addresses the expenses in the American healthcare system. The platform is open source and takes advantage of smart contracts to replace portions of the eligibility through remittance process in the provisioning of healthcare services.,@verisfoundation,https://www.verisfoundation.com/,,"Jersey City, New Jersey, USA",,,,,,,,,,,,,,,,,,,,,,,
WELL,,,https://joinwell.io/,"WELL is globalizing healthcare and eliminating country borders to directly connect healthcare providers to patients worldwide. WELL tokens to solve the world’s biggest healthcare issues surrounding cross-border payments, data accessibility and payment risk.",@jointeamwell,https://joinwell.io/docs/joinwell-whitepaper-en.pdf,https://icobench.com/ico/well,"Santa Monica, California, USA",,,,,,,,,,,,,,,,,,,,,,,
Youbase,Maybe,Yes,https://www.youbase.io,Individual-centric health data exchange is the future of Health IT and precision medicine. YouBase was built to take us there.,@youbaseio,,,"Englewood, CO",,,,,,,,,,,,,,,,,,,,,,,
Youthereum,No,No,http://youthereum.io/,"cellular rejuvenation therapies using epigenetic reprogramming, initially for pets, later for humans.",,coming soon,,Russia,,,,,,,,,,,,,,,,,,,,,,,
Zenome,Maybe,Yes,https://zenome.io/,a decentralized blockchain-driven database of genomic information,@ZenomePlatform,https://zenome.io/download/whitepaper.pdf,https://www.coinschedule.com/icos/e1082/zenome.html,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
